anatomy,dataset,available_count,sampled_count
Abdomen,Adrenal_Ki,52,42
Abdomen,HCC_,74,42
Abdomen,KiTS,488,42
Abdomen,MSD_colon_,190,42
Abdomen,MSD_hepaticvessel_,443,42
Abdomen,MSD_liver_,188,42
Abdomen,MSD_pancreas_,420,42
Abdomen,MSD_spleen_,61,42
Abdomen,NIH-LYMPH-ABD-,86,41
Abdomen,WAWTACE_Arterial_,118,41
Abdomen,WAWTACE_Delayed_,29,29
Abdomen,WAWTACE_Naive_,3,3
Abdomen,WAWTACE_Portal_,69,41
Abdomen,amos_,2350,41
Chest,Chest_LIDC-IDRI-,1010,31
Chest,Chest_MSD_lung_,63,31
Chest,Chest_NSCLC-Radiogenomics_R,88,30
Chest,Chest_NSCLC-Radiomics_,415,30
Chest,Chest_NSCLCPleuralEffusion_,78,30
Chest,Chest_coronacases_,10,10
Chest,Chest_volume-covid,199,30
Chest,MSD_lung_,32,29
Chest,NIH-LYMPH-MED-,90,29
Head,IntracranialHemorrhage_INSTANCE,100,100
PET,autoPET_fdg_,409,50
PET,psma_,283,50
Others,Panorama_,2238,34
Others,lnq,354,33
Others,mela_,880,33
